"NAME","READINESS","TIER","PERCENT USED","STATUS"
"dcb3-200-dd01.rsvgnw.local","ready","ACTIVE","66.55","GOOD"
"dcb3-200-dd01.rsvgnw.local","ready","CLOUD","89.17","FAIR"
"dcb3-200-dd01.rsvgnw.local","ready","COMBINED","75.22","GOOD"
