"category","result.status","result.error.code","protectionPolicy.name","Count"
"PROTECT","SKIPPED","ABS0003","MSSQL - Standard","4"
"RESTORE","OK_WITH_ERRORS","ARV0046","vCenterLab - Daily","1"
